"","id","ibr_score","ibr_maister_score"
"1",101,0.214387127307146,0.214387127307146
"2",102,0.54962977786672,0.54962977786672
"3",107,-0.767094481908491,0.767094481908491
"4",108,-0.381453634085213,0.381453634085213
"5",109,0.451919738943276,0.451919738943276
"6",113,-0.0113099498926271,0.0113099498926271
"7",114,0.203819890644292,0.203819890644292
"8",116,-0.211303939962477,0.211303939962477
"9",118,0.363274984308529,0.363274984308529
"10",119,-0.118382868007605,0.118382868007605
"11",122,-0.601685985247629,0.601685985247629
"12",124,0.513053964425686,0.513053964425686
"13",131,0.559725945784927,0.559725945784927
"14",134,0.0368520750817978,0.0368520750817978
"15",136,-0.14053434067001,0.14053434067001
"16",137,0.127414971241564,0.127414971241564
"17",146,-0.073772083090662,0.073772083090662
"18",153,-0.279787668436096,0.279787668436096
"19",157,-0.139153521786662,0.139153521786662
"20",162,0.0480413895048041,0.0480413895048041
"21",166,-0.113096948451238,0.113096948451238
"22",168,-0.196858651269618,0.196858651269618
"23",176,0.265668873489786,0.265668873489786
"24",177,0.0810580930509484,0.0810580930509484
"25",179,0.191117507967513,0.191117507967513
"26",180,0.331687694276833,0.331687694276833
"27",181,0.170948706309578,0.170948706309578
"28",184,-0.280737523269214,0.280737523269214
"29",189,0.144098786369177,0.144098786369177
"30",190,0.582451958885744,0.582451958885744
