"","id","ib_score","ib_maister_score"
"1",1,-0.0265410713774444,0.0265410713774444
"2",2,0.0116186655565227,0.0116186655565227
"3",4,0.169822485207101,0.169822485207101
"4",5,0.285237872758615,0.285237872758615
"5",10,0.0797960679411597,0.0797960679411597
"6",11,-0.102143447451249,0.102143447451249
"7",12,-0.23069324395837,0.23069324395837
"8",14,-0.294910805380892,0.294910805380892
"9",16,-0.617375541307194,0.617375541307194
"10",24,-0.0120940690105347,0.0120940690105347
"11",26,-0.703226663125747,0.703226663125747
"12",27,0.0651615564628368,0.0651615564628368
"13",28,0.210322261571478,0.210322261571478
"14",29,-0.74118533670668,0.74118533670668
"15",31,-0.248067463106114,0.248067463106114
"16",32,-0.0103428313557815,0.0103428313557815
"17",33,0.183980008241284,0.183980008241284
"18",34,-0.114263675084683,0.114263675084683
"19",37,-0.000768900472324558,0.000768900472324558
"20",39,0.579154375614553,0.579154375614553
"21",41,-0.221925895238342,0.221925895238342
"22",42,-0.178581262841287,0.178581262841287
"23",43,-0.192197813023347,0.192197813023347
"24",44,0.233649713699573,0.233649713699573
"25",45,0.0476553129105345,0.0476553129105345
"26",47,-0.0673311759677616,0.0673311759677616
"27",49,-0.273832875637505,0.273832875637505
"28",52,0.529930686830498,0.529930686830498
"29",53,-0.320154385689936,0.320154385689936
"30",55,0.0595150624540779,0.0595150624540779
"31",57,0.0509843513377083,0.0509843513377083
"32",64,-0.403193201039647,0.403193201039647
"33",66,-0.249851153425636,0.249851153425636
"34",68,-0.277297721916732,0.277297721916732
"35",69,0.314770244751361,0.314770244751361
"36",70,-0.342873579749748,0.342873579749748
"37",71,0.0860420650095602,0.0860420650095602
"38",74,-0.353318242399882,0.353318242399882
"39",75,-0.0201697568176323,0.0201697568176323
"40",76,-0.19309305009977,0.19309305009977
"41",77,-0.187986759652804,0.187986759652804
"42",79,-0.191315209554082,0.191315209554082
"43",80,-0.294630999810283,0.294630999810283
"44",81,-0.235478274230619,0.235478274230619
"45",82,-0.253943207670323,0.253943207670323
"46",83,-0.0608464336650481,0.0608464336650481
"47",85,0.214336564971459,0.214336564971459
"48",86,-0.0853959062332733,0.0853959062332733
"49",87,-0.302014964267731,0.302014964267731
"50",88,-0.163295834875832,0.163295834875832
"51",89,-0.251909022952433,0.251909022952433
"52",90,-0.134538954494457,0.134538954494457
