"","id","ibr_score","ibr_maister_score"
"1",12,0.170363330900945,0.170363330900945
"2",13,-0.136401277652904,0.136401277652904
"3",14,-0.0886818571334403,0.0886818571334403
"4",15,0.0563421730932774,0.0563421730932774
"5",16,0.0566043990651572,0.0566043990651572
"6",17,0.0393861702522944,0.0393861702522944
"7",18,-0.130854505914178,0.130854505914178
"8",19,-0.0745226404800873,0.0745226404800873
"9",20,0.184739812090458,0.184739812090458
"10",21,-0.0386541157620669,0.0386541157620669
"11",23,-0.0695093457943925,0.0695093457943925
"12",26,-0.00650189655960346,0.00650189655960346
"13",28,-0.290011461194127,0.290011461194127
"14",29,-0.177859056692043,0.177859056692043
"15",30,-0.0204272529365648,0.0204272529365648
"16",31,0.28057882363682,0.28057882363682
"17",32,-0.0119668610003068,0.0119668610003068
"18",33,0.51583745971862,0.51583745971862
"19",35,-0.331606844640221,0.331606844640221
"20",37,-0.104304745128262,0.104304745128262
"21",38,0.0557538004579113,0.0557538004579113
"22",39,-0.14823520116929,0.14823520116929
"23",40,-0.296443658324157,0.296443658324157
"24",41,-0.0153947619626152,0.0153947619626152
"25",42,-0.332006653201853,0.332006653201853
"26",43,-0.0730101893051789,0.0730101893051789
"27",44,-0.0656553685707514,0.0656553685707514
"28",45,0.126264647042012,0.126264647042012
"29",46,-0.373435696644306,0.373435696644306
"30",47,-0.503182392065496,0.503182392065496
"31",51,-0.0937243127720142,0.0937243127720142
"32",53,-0.400478519940871,0.400478519940871
"33",56,0.0801423163777558,0.0801423163777558
"34",57,-0.207491949948265,0.207491949948265
"35",58,0.09918035485039,0.09918035485039
"36",61,-0.0805566563323154,0.0805566563323154
"37",62,-0.0585847652550399,0.0585847652550399
"38",63,-0.0376254180602007,0.0376254180602007
"39",64,0.0820217260483036,0.0820217260483036
"40",66,-0.288829567244426,0.288829567244426
"41",68,0.0101169142744296,0.0101169142744296
"42",69,0.097739973517068,0.097739973517068
"43",70,-0.104973022319495,0.104973022319495
"44",71,0.214976708133535,0.214976708133535
"45",72,-0.0416183674232509,0.0416183674232509
"46",73,-0.0500587370609328,0.0500587370609328
"47",74,-0.16615131221157,0.16615131221157
"48",75,-0.265365673685917,0.265365673685917
"49",76,0.581657610685569,0.581657610685569
"50",77,-0.0115131875597453,0.0115131875597453
"51",81,0.00367917586460633,0.00367917586460633
"52",83,-0.273887185397074,0.273887185397074
"53",84,-0.129257713016478,0.129257713016478
"54",87,0.00250922949263877,0.00250922949263877
"55",89,0.148912819809315,0.148912819809315
"56",90,-0.188628099173554,0.188628099173554
