participant,condition,subject,channel,peaks,drops_at
infant,chair,84,ch_1,"[12526, 13929, 23680, 24685, 28275, 125, 356, 582, 822, 1055, 1284, 1510, 1731, 1963, 2185, 2405, 2618, 2826, 3035, 3242, 3448, 3658, 3874, 4097, 4313, 4526, 4740, 4947, 5166, 5382, 5591, 5801, 6010, 6215, 6427, 6623, 6830, 7046, 7255, 7468, 7676, 7883, 8096, 8308, 8535, 8763, 8992, 9223, 9457, 9694, 9931, 10168, 10408, 10649, 10887, 11127, 11359, 11591, 11824, 12056, 12291, 12763, 13002, 13238, 13473, 13700, 14140, 14359, 14576, 14793, 15006, 15216, 15425, 15637, 15852, 16067, 16277, 16491, 16710, 16931, 17152, 17366, 17582, 17799, 18021, 18240, 18461, 18684, 18910, 19137, 19360, 19584, 19807, 20027, 20240, 20456, 20674, 20891, 21114, 21331, 21553, 21779, 22009, 22242, 22472, 22707, 22946, 23184, 23429, 23927, 24178, 24439, 24942, 25196, 25461, 25727, 25983, 26251, 26510, 26755, 27008, 27275, 27527, 27771, 28016, 28518, 28754, 28979, 29204, 29420, 29642, 29855, 30076, 30302, 30532]",28275 → 125
infant,chair,46,ch_0,"[213, 447, 669, 898, 1129, 1355, 1586, 1818, 2035, 2266, 2517, 2770, 3016, 3268, 3529, 3780, 4007, 4226, 4450, 4678, 4896, 5116, 5335, 5549, 5764, 5974, 6188, 6619, 6831, 7038, 7247, 7449, 7651, 7863, 8075, 8288, 8497, 8712, 8929, 9143, 9345, 9548, 9751, 9961, 10177, 10386, 10597, 10802, 11013, 11227, 11444, 11676, 11900, 12124, 12351, 12798, 13013, 13221, 13433, 13645, 13852, 14051, 14246, 14441, 14638, 14837, 15040, 15243, 15454, 15664, 15874, 16087, 16293, 16498, 16702, 16913, 17123, 17328, 17538, 17741, 17947, 18150, 18356, 18566, 18767, 18970, 19178, 19393, 19614, 19845, 20072, 20508, 20720, 20925, 21129, 21528, 21911, 22105, 22306, 22513, 22714, 22932, 23147, 23375, 23620, 23849, 24092, 24318, 24541, 24763, 24990, 25220, 25446, 25683, 25914, 26146, 26377, 26616, 26846, 27078, 27299, 27531, 27756, 27991, 28214, 28436, 28654, 28866, 29076, 29286, 29493, 29706, 29920, 30139, 30356, 30563, 30767, 30972, 6404, 12580, 20292, 21328, 21715]",30972 → 6404
infant,chair,35,ch_1,"[148, 576, 792, 360, 1008, 1227, 1444, 1660, 1883, 2103, 2328, 2556, 2792, 3048, 3300, 3556, 3816, 4064, 4316, 4575, 4832, 5100, 5379, 5651, 5916, 6176, 6439, 6679, 6915, 7148, 7383, 7612, 7836, 8059, 8280, 8504, 8948, 8724, 9168, 9392, 9611, 9833, 10063, 10299, 10539, 10780, 11016, 11244, 11468, 11700, 11936, 12173, 12411, 12656, 12896, 13136, 13377, 13627, 13896, 14157, 14423, 14679, 14933, 15480, 15756, 16028, 16300, 16569, 15204, 16825, 17083, 17327, 17568, 17810, 18052, 18292, 18527, 18755, 18979, 19196, 19416, 19635, 19855, 20072, 20288, 20504, 20727, 20944, 21171, 21392, 21620, 21851, 22089, 22327, 22560, 22792, 23019, 23248, 23471, 23703, 23931, 24157, 24387, 24612, 24847, 25083, 25324, 25572, 25819, 26076, 26351, 26624, 26911, 27183, 27464, 27736, 27995, 28723, 28963, 29200, 28241, 28483, 29443, 29687, 30187, 30432, 30672, 30920, 29935]","792 → 360, 8948 → 8724, 16569 → 15204, 29200 → 28241, 30920 → 29935"
infant,chair,25,ch_1,"[47, 255, 475, 703, 927, 1147, 1418, 1671, 1907, 2135, 2355, 2567, 2775, 2991, 3219, 3443, 3659, 3879, 4119, 4367, 4607, 4838, 5066, 5318, 5567, 5795, 6015, 6223, 6415, 6607, 6795, 6987, 7151, 7395, 7547, 7731, 7919, 8115, 8307, 8503, 8687, 8875, 9067, 9267, 9459, 9651, 9835, 10015, 10199, 10383, 10563, 10742, 10919, 11095, 11275, 11455, 11631, 11807, 11983, 12159, 12334, 12507, 12683, 12863, 13035, 13211, 13387, 13555, 13731, 13903, 14078, 14251, 14427, 14599, 14775, 14947, 15119, 15291, 15463, 15635, 15807, 15979, 16131, 16319, 16487, 16707, 17167, 17335, 17506, 17671, 17839, 18007, 18175, 16827, 16995, 18339, 18507, 18671, 18839, 19002, 19167, 19331, 19495, 19662, 19826, 18255, 16923, 19990, 20154, 20318, 20482, 20643, 20807, 20971, 21135, 21299, 21463, 21631, 21796, 21963, 22293, 22459, 22631, 22799, 22963, 22122, 23302, 24140, 24309, 24647, 25494, 25663, 25831, 26007, 26179, 25304, 26351, 26527, 26703, 26879, 27059, 27235, 27415, 27594]","18175 → 16827, 19826 → 18255, 18255 → 16923, 22963 → 22122, 26179 → 25304"
infant,chair,04,ch_2,"[74, 270, 462, 658, 853, 1046, 1245, 1446, 1653, 1854, 2061, 2258, 2458, 2657, 2861, 3062, 3261, 3458, 3654, 3854, 4061, 4274, 4490, 4702, 4918, 5134, 5345, 5550, 5754, 5955, 6154, 6342, 6533, 6721, 6906, 7093, 7281, 7466, 7657, 7846, 8042, 8254, 8481, 8742, 8971, 9190, 9405, 9614, 9822, 10018, 10214, 10406, 10598, 10786, 10973, 11159, 11350, 11538, 11726, 11914, 12114, 12345, 12585, 12818, 13041, 13250, 13454, 13654, 13850, 14046, 14237, 14427, 14615, 14802, 14987, 15173, 15358, 15549, 15737, 15923, 16110, 16298, 16490, 16678, 16866, 17056, 17250, 17439, 17626, 17810, 17994, 18182, 18366, 18550, 18731, 18914, 19097, 19280, 19465, 19647, 19834, 20018, 20205, 20389, 20574, 20765, 20955, 21150, 21342, 21533, 21723, 21915, 22105, 22294, 22482, 22669, 22854, 23041, 23223, 23406, 23590, 23774, 23966, 24154, 24345, 24538, 24730, 24929, 25123, 25325, 25526, 25726, 25933, 26137, 26350, 26554, 26753, 26950, 27146, 27341, 27538, 27737, 27934, 28142, 28349, 28549, 28747, 28945, 29146, 29347, 29549, 29773, 30001, 30222, 30645, 30850, 31046, 30437]",31046 → 30437
infant,chair,41,ch_2,"[99, 295, 503, 691, 895, 1111, 1335, 1559, 1791, 2011, 2246, 2479, 2695, 3039, 3319, 3515, 3715, 2886, 3911, 4103, 4487, 4295, 4683, 4875, 5055, 5243, 5431, 5635, 5843, 6047, 6255, 6467, 6679, 6895, 7103, 7323, 7523, 7739, 7947, 8195, 8419, 8579, 8819, 9051, 9259, 9475, 9683, 9899, 10118, 10335, 10554, 10783, 10999, 11215, 11427, 11635, 11839, 12047, 12258, 12483, 12711, 12931, 13131, 13339, 13547, 13746, 13943, 14147, 14343, 14547, 14739, 14927, 15119, 15304, 15535, 15683, 15867, 16071, 16239, 16423, 16607, 16791, 16972, 17155, 17339, 17519, 17699, 17879, 18071, 18263, 18443, 18627, 18823, 19010, 19199, 19387, 19575, 19775, 19967, 20179, 20407, 20607, 20811, 21011, 21223, 21439, 21647, 21843, 22043, 22243, 22439, 22634, 22839, 23023, 23211, 23403, 23591, 23783, 23975, 24159, 24343, 24531, 24719, 24907, 25095, 25283, 25479, 25667, 25855, 26047, 26239, 26435, 26623, 26811, 27003, 27198, 27390, 27578, 27767, 27955, 28151, 28331, 28531, 28718, 28907, 29283, 29471, 29103, 29663, 29863, 30071, 30271, 30479]","3715 → 2886, 4487 → 4295, 29471 → 29103"
infant,chair,44,ch_2,"[961, 1158, 1938, 2137, 2341, 2552, 2770, 2990, 3206, 3425, 3638, 3842, 4049, 4453, 4858, 5060, 5264, 6249, 7210, 7401, 8746, 9129, 9913, 11153, 11353, 11961, 13217, 13630, 14225, 14626, 16196, 16587, 17166, 17550, 18321, 18517, 20089, 20281, 21630, 21822, 22207, 23410, 23609, 24013, 24409, 24602, 25366, 26673, 27049, 27618, 28193, 28389, 28966, 29154, 30102, 761, 561, 357, 153, 1351, 1546, 1741, 4249, 4653, 5462, 5661, 5857, 6053, 6442, 6633, 6826, 7017, 7590, 7783, 7979, 8170, 8362, 8554, 8937, 9321, 9517, 9711, 10117, 10329, 10538, 10745, 10949, 11550, 11753, 12161, 12370, 12582, 12797, 13006, 13425, 13829, 14026, 14422, 14821, 15018, 15217, 15414, 15610, 15805, 15998, 16390, 16781, 16970, 17357, 17739, 17933, 18125, 18714, 18910, 19109, 19305, 19501, 19697, 19888, 20473, 20664, 20854, 21046, 21238, 21437, 22014, 22399, 22798, 23002, 23209, 23813, 24209, 24792, 24985, 25174, 25550, 25737, 25922, 26109, 26297, 26483, 26858, 27238, 27426, 27806, 27998, 28586, 28777, 29344, 29537, 29721, 29910, 30294, 30692, 30890, 31086]","30102 → 761, 761 → 561, 561 → 357, 357 → 153"
infant,chair,77,ch_2,"[769, 2264, 2470, 4832, 5029, 8160, 9065, 9259, 9634, 9829, 10034, 10249, 10647, 16982, 17177, 18180, 18986, 20369, 21711, 27564, 27757, 28545, 28745, 28942, 29553, 29950, 30341, 30549, 107, 978, 1197, 1413, 1625, 1841, 2669, 2865, 3063, 3266, 3468, 3676, 3871, 4065, 4260, 551, 333, 2053, 4450, 4640, 5217, 5406, 5595, 5784, 6530, 6710, 6890, 5972, 6159, 6345, 7069, 7253, 7438, 7802, 7622, 7981, 8338, 8518, 8693, 8873, 9441, 10453, 10838, 11033, 11227, 11414, 11605, 11794, 11983, 12173, 12363, 12553, 12741, 12929, 13118, 13306, 13497, 13689, 13881, 14070, 14266, 14465, 14659, 14853, 15046, 15238, 15430, 15623, 15816, 16009, 16784, 16589, 16393, 16200, 17369, 17569, 17770, 17976, 18379, 18579, 18782, 19188, 19394, 19593, 19789, 19982, 20174, 20755, 20950, 21143, 21333, 21522, 21897, 22085, 22273, 22649, 22461, 22833, 23027, 23218, 23406, 23593, 23781, 23969, 24159, 24348, 24541, 24738, 24933, 25126, 25317, 25509, 25697, 25885, 26073, 26261, 26447, 26635, 26821, 27003, 27193, 27378, 27950, 28150, 28345, 29146, 29349, 29753, 30144]","30549 → 107, 4260 → 551, 551 → 333, 6890 → 5972, 7802 → 7622, 16784 → 16589, 16589 → 16393, 16393 → 16200, 22649 → 22461"
infant,chair,72,ch_2,"[370, 1378, 1865, 2362, 2846, 3086, 3321, 3553, 4457, 6245, 8330, 9066, 9526, 9753, 9978, 10429, 10882, 11333, 11785, 12008, 12229, 13138, 13601, 13830, 14710, 15138, 15354, 15805, 16251, 17154, 17622, 18103, 18586, 19315, 19791, 20030, 20738, 21206, 21445, 21926, 22645, 23422, 24473, 24730, 24982, 25465, 25706, 27081, 27978, 28205, 28430, 28885, 29110, 29798, 30274, 30517, 108, 618, 869, 1125, 1622, 2114, 3782, 4006, 4230, 4906, 4685, 5130, 5354, 5581, 5802, 6022, 6462, 6686, 6911, 7141, 7370, 7606, 7842, 8085, 8571, 8822, 9302, 10201, 10654, 11106, 11557, 12452, 12678, 12902, 13365, 14053, 14274, 14490, 14922, 15577, 16026, 16477, 16700, 16926, 17381, 17858, 18341, 18833, 19074, 19550, 20270, 20500, 20970, 21680, 22165, 22405, 22898, 23158, 23693, 23961, 24213, 25217, 25941, 26173, 26401, 26626, 26853, 27306, 27530, 27748, 28657, 29334, 29562, 30033]","30517 → 108, 4906 → 4685"
infant,chair,12,ch_1,"[50, 238, 428, 616, 807, 1188, 1382, 999, 1578, 1776, 1978, 2183, 2390, 2602, 2808, 3005, 3201, 3394, 3599, 3802, 3997, 4197, 4402, 4596, 4789, 4980, 5168, 5357, 5551, 5756, 5977, 6207, 6453, 6686, 6910, 7126, 7339, 7546, 7752, 7963, 8178, 8396, 8618, 8845, 9078, 9310, 9538, 9766, 9987, 10211, 10429, 10645, 10861, 11070, 11285, 11499, 11711, 11930, 12157, 12386, 12619, 12851, 13083, 13317, 13550, 13782, 14017, 14242, 14466, 14692, 14916, 15133, 15541, 15338, 15749, 15968, 16173, 16374, 16570, 16766, 16963, 17164, 17368, 17574, 17789, 18008, 18226, 18442, 18657, 18878, 19102, 19323, 19538, 19754, 19962, 20169, 20381, 20591, 20806, 21030, 21256, 21487, 21719, 21949, 22176, 22403, 22634, 22865, 23094, 23326, 23557, 23792, 24040, 24288, 24533, 24777, 25017, 25253, 25494, 25959, 25729, 26185, 26418, 26651, 26882, 27113, 27342, 27566, 27781, 28005, 28229, 28452, 28675, 28901, 29126, 29350, 29571, 29801, 30028, 30246, 30453, 30657, 30858, 31057]","1382 → 999, 15541 → 15338, 25959 → 25729"
