participant,condition,subject,channel,peaks,drops_at
infant,hammer,20,ch_0,"[155, 399, 666, 915, 1162, 1451, 1707, 2031, 2307, 2547, 2795, 3039, 3275, 3519, 3755, 3983, 4199, 4423, 4647, 4859, 5070, 5291, 5515, 5731, 5951, 6131, 6400, 6631, 6859, 7079, 7523, 7303, 7747, 7971, 8198, 8427, 8651, 8883, 9115, 9363, 9615, 9855, 10095, 10335, 10567, 10827, 11075, 11327, 11663, 11935, 12195, 12455, 12695, 12927, 13155, 13395, 13662, 13851, 14087, 14307, 14538, 14758, 14967, 15183, 15395, 15603, 15819, 16034, 16238, 16443, 16646, 16847, 17047, 17439, 17247, 17639, 17831, 18035, 18231, 18442, 18655, 18868, 19056, 19251, 19447, 19635, 19823, 20007, 20194, 20383, 20570, 20750, 20939, 21114, 21287, 21654, 21471, 21842, 22027, 22215, 22399, 22587, 22771, 22963, 23159, 23367, 23591, 23811, 24019, 24227, 24455, 24703, 24935, 25151, 25355, 25567, 25779, 25979, 26203, 26455, 26691, 26919, 27127, 27346, 27595, 27831, 28059, 28291, 28523, 28743, 28959, 29171, 29383, 29587, 29794, 30003, 30219, 30435, 30639, 30843, 31047, 31251, 31443]","7523 → 7303, 17439 → 17247, 21654 → 21471"
infant,hammer,53,ch_0,"[59, 255, 447, 646, 845, 1045, 1248, 1447, 1654, 1860, 2065, 2269, 2478, 2685, 2892, 3096, 3304, 3511, 3715, 3920, 4127, 4331, 4541, 4753, 4963, 5379, 5171, 5594, 5805, 6018, 6229, 6439, 6655, 6867, 7090, 7308, 7522, 7735, 7943, 8154, 8364, 8575, 8788, 9005, 9219, 9442, 9657, 9870, 10079, 10286, 10490, 10690, 10892, 11094, 11296, 11498, 11702, 11904, 12106, 12307, 12506, 12703, 12899, 13095, 13294, 13495, 13695, 13903, 14110, 14312, 14515, 14719, 14919, 15124, 15328, 15531, 15739, 15943, 16144, 16350, 16554, 16756, 16960, 17167, 17376, 17587, 17795, 18007, 18219, 18427, 18646, 18863, 19080, 19297, 19510, 19720, 19928, 20138, 20344, 20555, 20767, 20980, 21184, 21391, 21595, 21797, 21995, 22192, 22387, 22581, 22774, 22970, 23164, 23359, 23555, 23748, 23943, 24136, 24329, 24520, 24711, 24906, 25099, 25294, 25487, 25679, 25868, 26058, 26250, 26440, 26630, 26820, 27010, 27200, 27390, 27581, 27771, 27963, 28154, 28343, 28534, 28724, 28915, 29106, 29301, 29499, 29699, 29898, 30094, 30290, 30487]",5379 → 5171
infant,hammer,22,ch_2,"[32, 227, 419, 612, 804, 996, 1187, 1376, 1568, 1760, 1951, 2140, 2332, 2523, 2708, 2895, 3080, 3271, 3463, 3651, 3844, 4040, 4236, 4432, 4623, 4815, 5011, 5203, 5396, 5587, 5775, 5959, 6148, 6336, 6524, 6703, 6884, 7068, 7247, 7428, 7608, 7788, 7968, 8151, 8335, 8524, 8712, 8907, 9100, 9296, 9496, 9696, 9896, 10096, 10296, 10500, 10708, 10920, 11136, 11348, 11564, 11772, 11976, 12183, 12387, 12592, 12799, 13004, 13212, 13419, 13624, 13831, 14035, 14241, 14440, 14663, 14832, 15019, 15208, 15396, 15583, 15771, 15956, 16140, 16323, 16504, 16688, 16875, 17059, 17247, 17436, 17628, 17828, 18027, 18224, 18424, 18624, 18824, 19027, 19220, 19416, 19608, 19804, 19992, 20188, 20379, 20776, 20579, 20975, 21171, 21368, 21564, 21760, 21959, 22156, 22359, 22571, 22788, 23003, 23208, 23412, 23616, 23819, 24024, 24232, 24438, 24647, 24855, 25063, 25264, 25471, 25671, 25871, 26068, 26264, 26460, 26659, 26855, 27048, 27243, 27439, 27636, 27832, 28028, 28224, 28424, 28624, 28823, 29023, 29220, 29420, 29624, 29828, 30032, 30239, 30448, 30659, 30863]",20776 → 20579
infant,hammer,66,ch_2,"[163, 374, 787, 1195, 1600, 1802, 2002, 2194, 2389, 2583, 2774, 2965, 3802, 3998, 4190, 4578, 4779, 4974, 5169, 5366, 5564, 5755, 5948, 6139, 6327, 6515, 6701, 6886, 7071, 7255, 7443, 7858, 8058, 8463, 8666, 9254, 9666, 9878, 10099, 10314, 10526, 10730, 10935, 11143, 11346, 11563, 11771, 12637, 13054, 13266, 13930, 14143, 14778, 14982, 15186, 15395, 15810, 16011, 16214, 16674, 17375, 17614, 17855, 18091, 18531, 18753, 19202, 19625, 20034, 20642, 20839, 21051, 21266, 21467, 21667, 21863, 22655, 23047, 23262, 23478, 23690, 24110, 25215, 25446, 25671, 25886, 26099, 27698, 28158, 28999, 29222, 29451, 29883, 30095, 30307, 30519, 30735, 30962, 31209, 1399, 991, 583, 3162, 3398, 3599, 4387, 7635, 8263, 8859, 9054, 9455, 11995, 12203, 12423, 12847, 13479, 13699, 14359, 14567, 15603, 16439, 16899, 17131, 18310, 18978, 19414, 19827, 20239, 20443, 22059, 22263, 22463, 22851, 23903, 24331, 24551, 24771, 24991, 26315, 26539, 26775, 27003, 27239, 27467, 27927, 28374, 28583, 28791, 29663]","31209 → 1399, 1399 → 991, 991 → 583"
infant,hammer,68,ch_0,"[866, 1302, 4763, 8587, 9462, 11242, 11666, 14214, 16143, 17706, 19263, 19926, 20147, 20799, 21239, 21907, 22782, 22998, 23631, 26210, 27118, 28691, 29574, 30863, 223, 434, 651, 1082, 1523, 1755, 1982, 2211, 2439, 2667, 2898, 3131, 3358, 3590, 3818, 4055, 4294, 4526, 4999, 5238, 5470, 5699, 5931, 6159, 5, 6390, 6614, 6831, 7054, 7275, 7499, 7719, 7938, 8155, 8371, 8803, 9022, 9242, 9686, 9907, 10135, 10366, 10587, 10811, 11030, 11454, 11874, 12087, 12295, 12507, 12731, 12955, 13171, 13387, 13598, 13803, 14007, 14419, 14630, 14835, 15050, 15259, 15479, 15698, 15915, 16367, 16587, 16814, 17038, 17259, 17483, 17927, 18150, 18371, 18598, 18819, 19038, 19483, 19703, 20362, 20578, 21018, 21459, 21683, 22126, 22347, 22568, 23207, 23415, 23843, 24050, 24259, 24464, 24670, 24883, 25095, 25307, 25527, 25759, 25983, 26435, 26659, 26887, 27343, 27571, 27798, 28019, 28243, 28467, 28911, 29134, 29355, 29791, 30010, 30223, 30438, 30650]","30863 → 223, 6159 → 5"
infant,hammer,60,ch_0,"[848, 1315, 2731, 3411, 5251, 5731, 5971, 6207, 7839, 8490, 8702, 8915, 9839, 10087, 11082, 11819, 12771, 20275, 21199, 21419, 21855, 22071, 22755, 23222, 23686, 25087, 25534, 25753, 26211, 27151, 27387, 28332, 28559, 28782, 29002, 30546, 127, 351, 595, 1082, 1806, 2039, 2271, 2502, 1560, 2955, 3187, 3639, 3871, 4099, 4323, 4558, 4791, 5019, 5487, 6451, 6698, 6931, 7158, 7390, 7614, 8054, 8271, 9131, 9359, 9595, 10327, 10563, 10823, 11327, 11571, 12051, 12276, 12523, 13007, 13251, 13486, 13722, 13967, 14215, 14462, 14704, 14946, 15194, 15434, 15670, 15903, 16134, 16366, 16602, 16843, 17083, 17318, 17562, 17795, 18031, 18266, 18494, 18723, 18946, 19166, 19386, 19599, 19816, 20035, 20506, 20743, 20975, 21638, 22295, 22519, 22983, 23451, 23926, 24166, 24402, 24635, 24862, 25303, 25971, 26439, 26675, 26915, 27623, 27854, 28095, 29223, 29438, 29648, 29863, 30096, 30327]","30546 → 127, 2502 → 1560"
infant,hammer,69,ch_2,"[384, 604, 2020, 2456, 2668, 3736, 3948, 4156, 4575, 5212, 5644, 6284, 7124, 7539, 7963, 8596, 9467, 10324, 10531, 11568, 12203, 12832, 13968, 15088, 15504, 16975, 17196, 17828, 19500, 19712, 20128, 21360, 21788, 22404, 24208, 24848, 25064, 25959, 26188, 26844, 27060, 27284, 28940, 29164, 29808, 152, 832, 1072, 1308, 1544, 1780, 2236, 2880, 3092, 3304, 3523, 4364, 4992, 4780, 5428, 5852, 6068, 6496, 6704, 6915, 7328, 7748, 8176, 8388, 8812, 9036, 9248, 9684, 9904, 10116, 10736, 10940, 11152, 11356, 11776, 11988, 12408, 12624, 13260, 13480, 13720, 14196, 14424, 14648, 14872, 15296, 15708, 15924, 16132, 16340, 16548, 16756, 17404, 17612, 18032, 18248, 18660, 18868, 19076, 19288, 18452, 19920, 20332, 20540, 20748, 20952, 21156, 21575, 21991, 22196, 22608, 22808, 23012, 23212, 23412, 23608, 23804, 24000, 24408, 24636, 25280, 25516, 25732, 26408, 26624, 27504, 27736, 27976, 28228, 28464, 28704, 29380, 30012, 30215, 30423, 29596]","29808 → 152, 4992 → 4780, 19288 → 18452, 30423 → 29596"
infant,hammer,87,ch_2,"[404, 608, 812, 1019, 1229, 1651, 1866, 2311, 2527, 2747, 3175, 3387, 3595, 3807, 4235, 4658, 4870, 5082, 5298, 5730, 5945, 6367, 6797, 7009, 7427, 7845, 8055, 8266, 8898, 9106, 9313, 9519, 9723, 9931, 10137, 10342, 10551, 10764, 10982, 11198, 11410, 11618, 12642, 12847, 13058, 13267, 13478, 13686, 14733, 14932, 15131, 15729, 15928, 16134, 16764, 16975, 17394, 17602, 17810, 18225, 18433, 18639, 18846, 19051, 19257, 19671, 20090, 20511, 20925, 21128, 21330, 21529, 21727, 21925, 22330, 22535, 22743, 22953, 23162, 23370, 23577, 24417, 24628, 25043, 25247, 25451, 25658, 25864, 26066, 26270, 26679, 26886, 27091, 27297, 27502, 27915, 28123, 29154, 29354, 29551, 29747, 29945, 30336, 203, 2087, 1439, 2963, 4015, 4447, 5515, 6155, 6579, 7219, 7635, 8479, 8687, 11823, 12027, 12231, 12435, 13895, 14107, 14319, 14527, 15327, 15527, 16343, 16551, 17183, 18015, 19463, 19879, 20299, 20719, 22123, 23991, 24203, 24835, 23783, 26475, 27707, 28331, 28543, 28747, 28951, 30139]","30336 → 203, 2087 → 1439, 24835 → 23783"
infant,hammer,70,ch_2,"[304, 1439, 1891, 2348, 3032, 4668, 5587, 6284, 6520, 6756, 7911, 8367, 9503, 9955, 10183, 10635, 11095, 11331, 12039, 12272, 12740, 13207, 13440, 13676, 17416, 17643, 18087, 18304, 19651, 19879, 20107, 20339, 20811, 21291, 22499, 23436, 24131, 24368, 25296, 26423, 26875, 28495, 75, 532, 759, 984, 1211, 1664, 2120, 2575, 2800, 3260, 3491, 3724, 3956, 4192, 4432, 4896, 5128, 5356, 5816, 6048, 6984, 7215, 7448, 7679, 8136, 8599, 8824, 9051, 9276, 9728, 10408, 10863, 11564, 11800, 12504, 12972, 13912, 14147, 14380, 14616, 14855, 15096, 15332, 15568, 15803, 16036, 16268, 16496, 16728, 16960, 17187, 17867, 18520, 18743, 18967, 19191, 19419, 20572, 21048, 21528, 21772, 22012, 22256, 22732, 22968, 23200, 23664, 23892, 24603, 24832, 25064, 25520, 25748, 25972, 26196, 26648, 27099, 27328, 27556, 27783, 28012, 28252, 28732, 28968, 29216, 29448, 29688, 29931, 30180, 30439, 30696, 30952]",28495 → 75
infant,hammer,24,ch_1,"[132, 328, 516, 712, 904, 1096, 1287, 1475, 1664, 1852, 2040, 2228, 2416, 2603, 2788, 2976, 3164, 3351, 3539, 3727, 3915, 4108, 4300, 4496, 4699, 4899, 5100, 5307, 5511, 5712, 5916, 6116, 6315, 6515, 6715, 6912, 7112, 7315, 7516, 7719, 7920, 8119, 8316, 8520, 8720, 8916, 9119, 9320, 9519, 9720, 9923, 10123, 10324, 10527, 10732, 10940, 11148, 11359, 11567, 11779, 11988, 12195, 12403, 12612, 12820, 13032, 13240, 13447, 13864, 13656, 14079, 14299, 14524, 14743, 14963, 15188, 15415, 15631, 15843, 16052, 16256, 16459, 16660, 16856, 17060, 17263, 17460, 17663, 17860, 18060, 18260, 18459, 18659, 18856, 19056, 19255, 19456, 19663, 19868, 20076, 20276, 20488, 20696, 20891, 21104, 21315, 21532, 21740, 21948, 22155, 22359, 22563, 22763, 22964, 23168, 23375, 23576, 23779, 23980, 24187, 24388, 24588, 24792, 24996, 25199, 25400, 25604, 25807, 26012, 26220, 26428, 26640, 26856, 27068, 27287, 27503, 27716, 27931, 28140, 28348, 28555, 28757, 29158, 28959, 29395, 29552, 29748, 29940, 30135, 30328, 30519, 30711, 30899, 31087, 31276, 31468]","13864 → 13656, 29158 → 28959"
infant,hammer,61,ch_2,"[540, 757, 1400, 2044, 2248, 3561, 4010, 4222, 4441, 4653, 4870, 5526, 6382, 6585, 8181, 8566, 9194, 9608, 9805, 10004, 10390, 10965, 11357, 12337, 13386, 13877, 14329, 14780, 14988, 15202, 15834, 16248, 16887, 17099, 17302, 17510, 17724, 17938, 18157, 19004, 19210, 19419, 19625, 19825, 20418, 20614, 20813, 21214, 22017, 22422, 22630, 24110, 24318, 24522, 24736, 24946, 25153, 26028, 26249, 26678, 27095, 27498, 27894, 28093, 28688, 29075, 30241, 114, 330, 966, 1186, 1605, 1825, 2458, 2670, 2889, 3113, 3334, 3790, 5310, 5094, 5737, 5950, 6166, 7194, 6785, 6994, 7586, 7389, 7786, 7982, 8373, 8989, 8770, 9409, 10198, 10773, 10581, 11162, 11557, 11750, 11942, 12142, 12542, 12750, 12954, 13154, 13622, 14106, 14558, 15402, 15622, 16042, 16466, 16678, 18366, 18582, 18789, 20022, 20222, 21010, 21410, 21614, 21814, 22214, 22834, 23042, 23250, 23462, 23678, 23890, 25586, 25810, 25366, 26466, 27298, 26889, 27694, 28297, 28882, 28493, 29270, 29466, 29646, 29858, 30430, 30618, 30050, 30805, 30994]","30241 → 114, 5310 → 5094, 7194 → 6785, 7586 → 7389, 8989 → 8770, 10773 → 10581, 25810 → 25366, 27298 → 26889, 28882 → 28493, 30618 → 30050"
infant,hammer,86,ch_1,"[282, 464, 645, 825, 1364, 1541, 1716, 2243, 2420, 3500, 3688, 4064, 4443, 4640, 5222, 5609, 5804, 6006, 6201, 7200, 7408, 7611, 7816, 8227, 9439, 10479, 12087, 12492, 12692, 13500, 13900, 14099, 14504, 14711, 14920, 15723, 15925, 16125, 16320, 18375, 18554, 18919, 19181, 19825, 20001, 20180, 20359, 20719, 21283, 21720, 22379, 22592, 23010, 23414, 26332, 26506, 26682, 27029, 27380, 29587, 29755, 29923, 30260, 31096, 31263, 31439, 95, 1004, 1184, 2065, 1891, 2596, 2776, 2952, 3136, 3316, 3872, 4248, 5020, 4829, 5412, 6396, 6596, 6796, 8024, 8428, 8624, 8821, 9024, 9232, 9644, 9852, 10064, 10272, 10684, 10891, 11092, 11296, 11496, 11696, 11892, 12284, 12892, 13092, 13295, 13700, 14300, 15115, 15316, 15516, 16515, 16708, 16899, 17092, 17277, 17457, 17648, 17832, 18016, 18190, 18728, 19288, 19464, 19642, 20536, 20896, 21084, 21496, 21936, 22151, 22803, 23209, 23612, 23804, 23993, 24180, 24364, 24547, 24728, 24909, 25088, 25270, 25447, 25625, 25800, 25979, 26156, 27204, 26856, 27552, 27724, 27896, 28069, 28236, 28408, 28576, 28744, 28913, 29081, 29249, 29415, 30092, 30427, 30595, 30760, 30928]","31439 → 95, 2065 → 1891, 5020 → 4829, 27204 → 26856"
infant,hammer,02,ch_2,"[221, 464, 701, 929, 1153, 1377, 1597, 1816, 2029, 2241, 2457, 2668, 2881, 3093, 3309, 3528, 3748, 3969, 4189, 4417, 4644, 4865, 5089, 5313, 5545, 5776, 6025, 6277, 6513, 6745, 6976, 7197, 7420, 7637, 7857, 8076, 8289, 8508, 8721, 8937, 9152, 9365, 9581, 9797, 10017, 10237, 10456, 10677, 10901, 11124, 11352, 11573, 11800, 12021, 12244, 12464, 12681, 12893, 13108, 13317, 13533, 13745, 13960, 14177, 14401, 14636, 14881, 15121, 15365, 15613, 15869, 16113, 16349, 16581, 16809, 17036, 17265, 17493, 17729, 17972, 18213, 18449, 18685, 18921, 19145, 19376, 19600, 19820, 20042, 20264, 20485, 20705, 20920, 21137, 21349, 21565, 21777, 21993, 22205, 22421, 22629, 22833, 23253, 23461, 23048, 23669, 23877, 24081, 24285, 24485, 24688, 24889, 25089, 25292, 25496, 25700, 25901, 26105, 26304, 26505, 26705, 26905, 27104, 27305, 27505, 27709, 27909, 28109, 28317, 28529, 28741, 28953, 29169, 29381, 29593, 29801, 30013, 30224, 30433, 30641, 30849, 31061]",23461 → 23048
infant,hammer,31,ch_2,"[30958, 62, 338, 606, 875, 1159, 1423, 1683, 1943, 2214, 2491, 2747, 2998, 3239, 3474, 3714, 3951, 4187, 3614, 4426, 4667, 4911, 5146, 5374, 5603, 5835, 6066, 6290, 6518, 6751, 6982, 7214, 7442, 7670, 7899, 8130, 8358, 8586, 8818, 9042, 9270, 9495, 9730, 9966, 10194, 10414, 10630, 10850, 11066, 11282, 11503, 11730, 11951, 12174, 12395, 12626, 12846, 13062, 13275, 13494, 13723, 13962, 14198, 14434, 14675, 14927, 15166, 15394, 15619, 15838, 16054, 16266, 16482, 16691, 16910, 17139, 17366, 17602, 17846, 18115, 18410, 18682, 18935, 19182, 19423, 19663, 19894, 20126, 20355, 20590, 20818, 21054, 21283, 21518, 21754, 21995, 22242, 22479, 22714, 22954, 23190, 23426, 23655, 23890, 24123, 24355, 24586, 24827, 25062, 25298, 25534, 25794, 26042, 26286, 26531, 26779, 27027, 27266, 27498, 27726, 27947, 28167, 28391, 28614, 28835, 29051, 29279, 29511, 29746, 29986, 30227, 30479, 30719]","30958 → 62, 4187 → 3614"
infant,hammer,06,ch_2,"[30987, 60, 300, 544, 792, 1032, 1279, 1528, 1763, 1996, 2220, 2444, 2664, 2880, 3095, 3308, 3524, 3743, 3964, 4188, 4420, 4652, 4880, 5115, 5340, 5576, 5803, 6035, 6260, 6488, 6708, 6928, 7152, 7372, 7600, 7828, 8056, 8291, 8528, 8755, 8984, 9212, 9439, 9667, 9892, 10124, 10355, 10584, 10816, 11044, 11272, 11496, 11724, 11947, 12171, 12392, 12620, 12856, 13084, 13320, 13548, 13784, 14011, 14244, 14472, 14700, 14920, 15224, 15347, 15564, 15783, 16019, 16260, 16524, 16772, 17012, 17256, 17483, 17707, 17928, 18151, 18372, 18599, 18824, 19060, 19292, 19523, 19760, 19992, 20228, 20459, 20695, 20940, 21180, 21439, 21680, 21936, 22184, 22436, 22675, 22907, 23140, 23384, 23644, 23896, 24160, 24420, 24684, 24952, 25200, 25456, 25700, 25952, 26192, 26440, 26676, 26923, 27156, 27396, 27624, 27852, 28084, 28316, 28543, 28768, 28992, 29216, 29456, 29700, 29964, 30220, 30480, 30740]",30987 → 60
infant,hammer,40,ch_2,"[188, 435, 682, 931, 1183, 1443, 1698, 1964, 2214, 2474, 2726, 2982, 3251, 3502, 3767, 4019, 4314, 4566, 4818, 5115, 5374, 5643, 5903, 6183, 6458, 6730, 7007, 7271, 7557, 7818, 8083, 8345, 8602, 8879, 9135, 9388, 9635, 9893, 10142, 10384, 10638, 10882, 11143, 11391, 11628, 11882, 12131, 12402, 12690, 12951, 13236, 13514, 13773, 14063, 14326, 14614, 14874, 15130, 15398, 15679, 15962, 16223, 16491, 16742, 17008, 17263, 17527, 17779, 18067, 18342, 18640, 18951, 19223, 19502, 19754, 20004, 20295, 20578, 20843, 21132, 21403, 21699, 21970, 22226, 22491, 22743, 22987, 23226, 23483, 23727, 23975, 24219, 24468, 24711, 24950, 25179, 25403, 25622, 25839, 26047, 26254, 26462, 26663, 26878, 27084, 27512, 27735, 27967, 28195, 27299, 28420, 28651, 28887, 29122, 29351, 29598, 29829, 30056, 30286, 30514, 30738, 30881, 30970, 31195, 31422]",28195 → 27299
infant,hammer,54,ch_0,"[5866, 8466, 19770, 23583, 30173, 170, 371, 572, 780, 991, 1214, 1436, 1659, 1889, 2122, 2342, 2564, 2785, 3000, 3218, 3432, 3644, 3855, 4066, 4274, 4495, 4720, 4950, 5186, 5424, 5647, 6082, 6303, 6520, 6738, 6947, 7157, 7370, 7581, 7795, 8011, 8235, 8691, 8916, 9143, 9367, 9594, 9822, 10042, 10252, 10460, 10663, 10861, 11060, 11254, 11449, 11648, 11842, 12042, 12234, 12428, 12619, 12814, 13007, 13196, 13387, 13585, 13779, 13971, 14170, 14367, 14571, 14766, 14967, 15162, 15353, 15544, 15735, 15927, 16118, 16311, 16503, 16700, 16899, 17106, 17312, 17514, 17715, 17920, 18124, 18330, 18540, 18746, 18955, 19166, 19372, 19570, 19962, 20154, 20349, 20543, 21519, 21708, 21898, 22087, 22282, 23031, 23216, 23398, 23762, 23942, 24122, 24301, 24479, 24659, 24836, 25014, 25189, 25364, 25539, 25714, 25888, 26062, 26235, 26407, 26579, 26752, 26924, 27099, 27274, 27447, 27622, 27798, 27981, 28167, 28354, 28539, 28723, 28907, 29091, 29271, 29449, 29626, 29808, 29991, 30350, 30528, 30714, 30906, 25908, 31095]","30173 → 170, 30906 → 25908"
infant,hammer,75,ch_1,"[646, 2399, 2619, 6283, 9863, 10567, 10812, 11292, 11531, 11775, 12507, 13684, 14859, 15579, 16739, 16970, 17436, 17676, 17907, 18150, 18382, 18618, 18840, 19289, 19511, 19729, 19946, 20162, 21068, 21299, 21740, 21969, 22195, 23861, 24088, 24313, 25547, 26567, 27280, 27496, 27715, 206, 423, 863, 1080, 1303, 1529, 1744, 1961, 2183, 2835, 3050, 3272, 3492, 3710, 3922, 4134, 4347, 4556, 4767, 4977, 5187, 5404, 5619, 5839, 6063, 6502, 6720, 6937, 7159, 7372, 7591, 7814, 8033, 8260, 8481, 8705, 8944, 9171, 9399, 9632, 10100, 10332, 11047, 12019, 12260, 12741, 12978, 13209, 13456, 13915, 14147, 14384, 14620, 15100, 15338, 15819, 16060, 16280, 16509, 17201, 19066, 20388, 20844, 20613, 21516, 22425, 22664, 22909, 23152, 23394, 23635, 24543, 24780, 25027, 25288, 25812, 26068, 26322, 26805, 27044, 27935, 28152, 28377, 28602, 28819, 29035, 29252, 29464, 29679, 29892, 30107, 30327, 30547, 30764, 30981, 31201, 31418]","27715 → 206, 20844 → 20613"
infant,hammer,59,ch_0,"[276, 491, 707, 920, 1345, 1560, 1771, 2187, 2396, 2600, 2803, 3005, 3210, 3413, 3618, 4242, 4449, 4655, 4858, 5063, 5266, 5469, 5671, 6079, 6284, 6897, 7103, 7309, 7519, 7732, 7947, 8807, 9251, 9473, 9908, 10124, 10766, 10983, 11415, 11627, 11835, 12041, 12248, 12455, 12660, 13069, 13692, 14115, 14334, 14555, 14974, 15179, 15579, 15966, 16157, 16735, 16935, 17147, 17804, 18023, 18248, 18924, 19355, 19962, 20159, 20921, 21288, 21651, 21837, 22023, 22207, 22396, 22982, 23174, 23368, 23560, 24326, 24518, 24910, 25107, 25307, 25508, 25712, 26136, 26363, 26575, 26787, 26994, 27201, 27412, 27619, 27821, 28020, 28219, 28420, 28618, 28815, 29213, 29606, 29802, 29997, 30194, 30391, 30586, 30783, 30981, 60, 1132, 1976, 3824, 4032, 5873, 6487, 6691, 8163, 8376, 8592, 9028, 9692, 10339, 10552, 11200, 12864, 13276, 13484, 13900, 14767, 15379, 15772, 16347, 16540, 17367, 17583, 18473, 18692, 19140, 19559, 19764, 20352, 20544, 20730, 21105, 21469, 22587, 22784, 23751, 23940, 24132, 24712, 25919, 29013, 29408]",30981 → 60
infant,hammer,79,ch_2,"[672, 1645, 2693, 3460, 4476, 5221, 6689, 6932, 7660, 7905, 8144, 8629, 9344, 11389, 11637, 12405, 12653, 13849, 14085, 15705, 16385, 17541, 17764, 17992, 19145, 19853, 20840, 21100, 21628, 23565, 24985, 25228, 25461, 26205, 26460, 27205, 27444, 28708, 29189, 29421, 29654, 30100, 30322, 30546, 30784, 193, 433, 913, 1149, 1389, 1897, 2161, 2429, 2945, 3209, 3707, 3968, 4229, 4717, 4973, 5468, 5712, 5960, 6197, 6445, 7181, 7417, 8385, 8861, 9101, 9589, 9833, 10085, 10345, 10609, 10865, 11128, 11889, 12145, 12890, 13141, 13367, 13609, 14313, 14549, 14777, 15013, 15241, 15469, 15933, 16156, 16617, 16845, 17073, 17309, 18209, 18429, 18661, 18909, 19385, 19621, 20093, 20345, 20601, 21377, 21873, 22105, 22336, 22565, 22809, 23065, 23313, 23801, 24041, 24281, 24513, 24749, 25709, 25957, 26705, 26953, 27693, 27949, 28197, 28461, 28953, 29877]",30784 → 193
infant,hammer,51,ch_0,"[237, 468, 697, 931, 1164, 1401, 1634, 1863, 2098, 2331, 2563, 2798, 3025, 3250, 3470, 3683, 3902, 4127, 4354, 4582, 4814, 5047, 5279, 5509, 5735, 5962, 6186, 6397, 6611, 6832, 7062, 7283, 7510, 7730, 8172, 8394, 7952, 8607, 8819, 9031, 9238, 9446, 9654, 9858, 10063, 10267, 10469, 10667, 10872, 11079, 11287, 11502, 11714, 11934, 12162, 12394, 12625, 12846, 13078, 13299, 13527, 13743, 13959, 14171, 14390, 14614, 14851, 15090, 15334, 15567, 15806]",8394 → 7952
infant,hammer,01,ch_2,"[165, 381, 597, 813, 1029, 1249, 1465, 1681, 1897, 2113, 2329, 2545, 2757, 2973, 3181, 3393, 3605, 3821, 4005, 4241, 4457, 4677, 4901, 5133, 5373, 5613, 5853, 6089, 6325, 6561, 6793, 7025, 7261, 7485, 7717, 7941, 8165, 8393, 8621, 8845, 9069, 9297, 9521, 9745, 9969, 10205, 10429, 10665, 10881, 11105, 11333, 11561, 11789, 12233, 12017, 12449, 12657, 12869, 13085, 13305, 13525, 13753, 13977, 14201, 14429, 14649, 14877, 15109, 15349, 15585, 15825, 16057, 16293, 16529, 16761, 16990, 17213, 17437, 17661, 17885, 18117, 18349, 18581, 18809, 19037, 19261, 19485, 19709, 19933, 20150, 20369, 20585, 20793, 21005, 21209, 21413, 21621, 21829, 22041, 22257, 22473, 22689, 22905, 23117, 23337, 23553, 23769, 23985, 24201, 24421, 24645, 24877, 25105, 25341, 25574, 25805, 26037, 26261, 26485, 26705, 26930, 27149, 27369, 27581, 27793, 28001, 28213, 28417, 28621, 28829, 29037, 29245, 29453, 29665, 29869, 30077, 30285, 30493, 30913, 31121, 30701]","12233 → 12017, 31121 → 30701"
infant,hammer,14,ch_1,"[57, 250, 450, 654, 858, 1070, 1278, 1474, 1678, 1882, 2082, 2285, 2474, 2681, 2878, 3086, 3274, 3478, 3681, 3886, 4086, 4281, 4482, 4682, 4885, 5086, 5293, 5502, 5718, 5934, 6146, 6350, 6562, 6773, 6982, 7194, 7401, 7613, 7818, 8026, 8230, 8434, 8638, 8846, 9062, 9266, 9466, 9670, 9878, 10093, 10302, 10522, 10742, 10958, 11173, 11378, 11590, 11798, 12001, 12206, 12410, 12614, 12821, 13018, 13218, 13418, 13618, 13806, 14006, 14206, 14421, 14626, 14826, 15030, 15234, 15441, 15638, 15841, 16038, 16238, 16446, 16653, 16862, 17062, 17266, 17470, 17665, 17869, 18066, 18262, 18462, 18662, 18862, 19062, 19262, 19470, 19682, 19898, 20330, 20114, 20550, 20766, 20982, 21198, 21406, 21614, 21818, 22018, 22222, 22426, 22626, 22826, 23022, 23222, 23430, 23641, 23850, 24070, 24286, 24506, 24726, 24946, 25162, 25374, 25582, 25794, 25994, 26198, 26402, 26602, 26805, 26998, 27201, 27398, 27586, 27782, 27977, 28174, 28362, 28558, 28751, 28942, 29130, 29325, 29517, 29706, 29894, 30086, 30273, 30457, 30649, 30834, 31018, 31206]",20330 → 20114
